,Date,Public Transport Route,Station,Weather Condition,Time of Day,Delay Due to Weather (minutes),Temperature (°C),Rainfall (mm),Wind Speed (km/h),Humidity (%)
24,2019-01-01 23:00:00,No Service,Waterloo,Ice,Off-Peak,35,8,28,23,82
25,2019-01-02 00:00:00,No Service,Piccadilly Circus,Fog,Off-Peak,40,18,41,33,45
26,2019-01-02 01:00:00,No Service,South Wimbledon,Rain,Off-Peak,10,-4,18,38,58
27,2019-01-02 02:00:00,No Service,Waterloo,Snow,Off-Peak,20,20,47,34,47
28,2019-01-02 03:00:00,No Service,Piccadilly Circus,Clear,Off-Peak,0,8,28,9,51
29,2019-01-02 04:00:00,Tram,East Croydon,Wind,Off-Peak,25,1,34,23,62
30,2019-01-02 05:00:00,Train,Paddington,Rain,Off-Peak,15,-3,11,26,47
31,2019-01-02 06:00:00,Tram,East Croydon,Clear,Rush Hour,0,17,7,6,43
32,2019-01-02 07:00:00,Train,Clapham Junction,Rain,Rush Hour,15,12,24,13,77
33,2019-01-02 08:00:00,DLR,Tower Gateway,Ice,Rush Hour,35,32,26,34,45
34,2019-01-02 09:00:00,DLR,Tower Gateway,Ice,Off-Peak,25,29,46,14,95
35,2019-01-02 10:00:00,Tram,Wimbledon,Rain,Off-Peak,20,9,42,31,96
36,2019-01-02 11:00:00,Bus,Tottenham Court Road,Wind,Off-Peak,25,19,44,36,66
37,2019-01-02 12:00:00,Tube,Kings Cross St Pancras,Wind,Off-Peak,30,31,5,8,100
38,2019-01-02 13:00:00,Tram,Wimbledon,Ice,Off-Peak,40,22,12,38,61
39,2019-01-02 14:00:00,Bus,Waterloo,Snow,Off-Peak,30,4,10,32,97
40,2019-01-02 15:00:00,Tram,South Wimbledon,Clear,Rush Hour,0,33,37,32,60
41,2019-01-02 16:00:00,Train,Waterloo,Ice,Rush Hour,30,11,5,37,97
42,2019-01-02 17:00:00,Train,King's Cross,Wind,Rush Hour,10,33,4,31,48
43,2019-01-02 18:00:00,Bus,Oxford Circus,Ice,Off-Peak,35,16,6,20,43
44,2019-01-02 19:00:00,Train,King's Cross,Clear,Off-Peak,0,20,18,4,97
45,2019-01-02 20:00:00,Train,London Bridge,Ice,Off-Peak,40,19,42,10,68
46,2019-01-02 21:00:00,Tube,Piccadilly Circus,Wind,Off-Peak,20,11,5,28,83
47,2019-01-02 22:00:00,DLR,Shadwell,Snow,Off-Peak,25,7,24,7,54
48,2019-01-02 23:00:00,No Service,Tottenham Court Road,Ice,Off-Peak,35,14,8,26,68
49,2019-01-03 00:00:00,No Service,East Croydon,Ice,Off-Peak,40,19,19,40,72
50,2019-01-03 01:00:00,No Service,New Addington,Fog,Off-Peak,30,-2,24,11,48
51,2019-01-03 02:00:00,No Service,King's Cross,Snow,Off-Peak,30,4,49,6,53
52,2019-01-03 03:00:00,No Service,Wimbledon,Clear,Off-Peak,0,-3,7,34,76
53,2019-01-03 04:00:00,DLR,Shadwell,Rain,Off-Peak,15,12,49,5,62
54,2019-01-03 05:00:00,Train,Euston,Fog,Off-Peak,15,30,36,18,100
55,2019-01-03 06:00:00,Tube,Baker Street,Ice,Rush Hour,35,16,37,35,68
56,2019-01-03 07:00:00,DLR,Canary Wharf,Rain,Rush Hour,15,28,1,39,97
57,2019-01-03 08:00:00,Tube,Kings Cross St Pancras,Ice,Rush Hour,35,2,21,15,66
58,2019-01-03 09:00:00,Train,King's Cross,Snow,Off-Peak,40,34,35,10,45
59,2019-01-03 10:00:00,Train,Clapham Junction,Ice,Off-Peak,30,13,50,35,42
60,2019-01-03 11:00:00,Tram,East Croydon,Fog,Off-Peak,40,31,3,27,78
61,2019-01-03 12:00:00,Tube,Baker Street,Ice,Off-Peak,35,0,47,22,98
62,2019-01-03 13:00:00,Train,Clapham Junction,Fog,Off-Peak,25,20,0,34,46
63,2019-01-03 14:00:00,Tube,Waterloo,Snow,Off-Peak,20,28,47,34,86
64,2019-01-03 15:00:00,Tube,Kings Cross St Pancras,Rain,Rush Hour,15,0,32,16,94
65,2019-01-03 16:00:00,DLR,Canary Wharf,Snow,Rush Hour,25,31,23,38,65
66,2019-01-03 17:00:00,Bus,Oxford Circus,Wind,Rush Hour,25,27,48,3,50
67,2019-01-03 18:00:00,DLR,Stratford,Ice,Off-Peak,35,16,4,6,58
68,2019-01-03 19:00:00,Tram,Addiscombe,Ice,Off-Peak,50,15,47,17,58
69,2019-01-03 20:00:00,Bus,Soho,Fog,Off-Peak,35,0,34,22,100
70,2019-01-03 21:00:00,Tube,Leicester Square,Snow,Off-Peak,10,0,41,27,89
71,2019-01-03 22:00:00,DLR,Canary Wharf,Clear,Off-Peak,10,-2,49,40,92
74,2019-01-03 23:00:00,No Service,Tottenham Court Road,Rain,Off-Peak,15,24,49,35,53
77,2019-01-04 00:00:00,Tube,Green Park,Rain,Off-Peak,15,5,25,37,44
78,2019-01-04 01:00:00,Tube,Oxford Circus,Snow,Off-Peak,20,24,48,18,59
79,2019-01-04 02:00:00,Train,King's Cross,Ice,Rush Hour,30,25,42,20,97
80,2019-01-04 03:00:00,DLR,Stratford,Snow,Rush Hour,15,18,40,34,48
81,2019-01-04 04:00:00,Tube,Kings Cross St Pancras,Rain,Rush Hour,5,3,42,1,89
82,2019-01-04 05:00:00,Bus,Waterloo,Snow,Off-Peak,20,-3,25,16,50
83,2019-01-04 06:00:00,Tram,Elmers End,Clear,Off-Peak,10,25,40,10,72
84,2019-01-04 07:00:00,Train,King's Cross,Clear,Off-Peak,10,34,48,12,52
85,2019-01-04 08:00:00,Tube,Piccadilly Circus,Clear,Off-Peak,10,31,4,40,97
86,2019-01-04 09:00:00,Train,King's Cross,Wind,Off-Peak,20,30,43,27,82
87,2019-01-04 10:00:00,Tram,Wimbledon,Wind,Off-Peak,15,18,17,16,80
88,2019-01-04 11:00:00,Bus,Victoria,Wind,Rush Hour,15,25,24,23,43
89,2019-01-04 12:00:00,Tram,South Wimbledon,Rain,Rush Hour,10,0,47,33,75
90,2019-01-04 13:00:00,DLR,Canary Wharf,Ice,Rush Hour,35,-4,40,36,81
91,2019-01-04 14:00:00,Tram,Addiscombe,Wind,Off-Peak,15,14,39,13,86
92,2019-01-04 15:00:00,Tram,Beckenham Junction,Clear,Off-Peak,0,22,37,5,67
93,2019-01-04 16:00:00,Train,Clapham Junction,Clear,Off-Peak,0,5,48,40,63
94,2019-01-04 17:00:00,Train,Victoria,Clear,Off-Peak,0,-2,45,21,94
95,2019-01-04 18:00:00,Tube,Piccadilly Circus,Wind,Off-Peak,30,9,20,19,82
96,2019-01-04 19:00:00,No Service,Beckenham Junction,Ice,Off-Peak,50,0,23,22,40
97,2019-01-04 20:00:00,No Service,Elmers End,Rain,Off-Peak,20,24,27,31,97
99,2019-01-04 21:00:00,No Service,Liverpool Street,Wind,Off-Peak,25,32,45,21,58
100,2019-01-04 22:00:00,No Service,Lewisham,Ice,Off-Peak,35,-4,3,38,97
101,2019-01-04 23:00:00,Bus,Oxford Circus,Wind,Off-Peak,25,9,7,22,61
102,2019-01-05 00:00:00,Tram,Beckenham Junction,Rain,Off-Peak,20,5,48,19,55
103,2019-01-05 01:00:00,Tube,Waterloo,Rain,Rush Hour,5,2,32,36,61
104,2019-01-05 02:00:00,Tube,Green Park,Rain,Rush Hour,5,20,2,38,77
105,2019-01-05 03:00:00,Bus,Waterloo,Wind,Rush Hour,25,-1,48,33,93
106,2019-01-05 04:00:00,Train,Paddington,Ice,Off-Peak,30,0,19,16,63
107,2019-01-05 05:00:00,Tram,New Addington,Snow,Off-Peak,25,20,34,14,62
108,2019-01-05 06:00:00,Bus,Oxford Circus,Fog,Off-Peak,35,-2,38,20,67
109,2019-01-05 07:00:00,Tram,Elmers End,Rain,Off-Peak,10,13,42,0,74
110,2019-01-05 08:00:00,Tram,Addiscombe,Rain,Off-Peak,20,14,46,37,99
111,2019-01-05 09:00:00,Bus,King's Cross,Snow,Off-Peak,30,27,6,33,43
112,2019-01-05 10:00:00,Bus,King's Cross,Snow,Rush Hour,30,14,26,28,42
113,2019-01-05 11:00:00,Tube,Waterloo,Wind,Rush Hour,20,6,4,1,80
114,2019-01-05 12:00:00,Tram,East Croydon,Ice,Rush Hour,50,-5,48,19,92
115,2019-01-05 13:00:00,Tube,Kings Cross St Pancras,Clear,Off-Peak,0,20,36,12,96
116,2019-01-05 14:00:00,DLR,Tower Gateway,Rain,Off-Peak,5,8,0,7,94
117,2019-01-05 15:00:00,DLR,Bank,Rain,Off-Peak,15,32,21,22,71
118,2019-01-05 16:00:00,Tube,Oxford Circus,Ice,Off-Peak,35,31,6,10,87
119,2019-01-05 17:00:00,Tram,Elmers End,Wind,Off-Peak,15,5,48,22,56
120,2019-01-05 18:00:00,No Service,Waterloo,Ice,Off-Peak,45,30,7,35,96
122,2019-01-05 19:00:00,No Service,Tower Gateway,Snow,Off-Peak,15,7,43,27,57
123,2019-01-05 20:00:00,No Service,Piccadilly Circus,Clear,Off-Peak,0,-3,29,16,84
124,2019-01-05 21:00:00,No Service,Piccadilly Circus,Fog,Off-Peak,40,27,27,7,49
125,2019-01-05 22:00:00,Tram,Elmers End,Ice,Off-Peak,40,0,25,0,70
126,2019-01-05 23:00:00,Bus,Waterloo,Ice,Off-Peak,45,4,33,28,89
128,2019-01-06 00:00:00,Tube,Green Park,Wind,Rush Hour,20,-1,48,2,75
129,2019-01-06 01:00:00,Train,King's Cross,Rain,Rush Hour,15,17,31,12,45
130,2019-01-06 02:00:00,Train,London Bridge,Ice,Off-Peak,30,4,21,32,45
131,2019-01-06 03:00:00,Bus,Oxford Circus,Wind,Off-Peak,25,-4,19,22,97
132,2019-01-06 04:00:00,Tram,Addiscombe,Snow,Off-Peak,35,7,13,22,64
133,2019-01-06 05:00:00,Train,Waterloo,Clear,Off-Peak,0,34,22,33,96
134,2019-01-06 06:00:00,DLR,Poplar,Snow,Off-Peak,15,-4,2,25,55
135,2019-01-06 07:00:00,Tube,Leicester Square,Fog,Off-Peak,40,14,18,4,91
136,2019-01-06 08:00:00,Tram,East Croydon,Wind,Rush Hour,25,-5,13,7,92
137,2019-01-06 09:00:00,Train,Victoria,Rain,Rush Hour,5,31,39,16,53
138,2019-01-06 10:00:00,Tram,Beckenham Junction,Clear,Rush Hour,10,3,38,24,42
140,2019-01-06 11:00:00,Tube,Green Park,Fog,Off-Peak,50,11,36,22,82
141,2019-01-06 12:00:00,Tube,Oxford Circus,Snow,Off-Peak,10,3,34,27,92
142,2019-01-06 13:00:00,Tram,Wimbledon,Ice,Off-Peak,40,5,0,33,62
143,2019-01-06 14:00:00,Tube,Kings Cross St Pancras,Clear,Off-Peak,10,9,18,7,84
144,2019-01-06 15:00:00,No Service,Stratford,Fog,Off-Peak,30,18,14,18,41
145,2019-01-06 16:00:00,No Service,Tottenham Court Road,Snow,Off-Peak,20,32,24,12,97
146,2019-01-06 17:00:00,No Service,Stratford,Clear,Off-Peak,10,29,0,25,89
147,2019-01-06 18:00:00,No Service,Oxford Circus,Fog,Off-Peak,40,24,30,38,40
149,2019-01-06 19:00:00,Tram,Elmers End,Ice,Off-Peak,40,25,36,5,54
150,2019-01-06 20:00:00,Tube,Waterloo,Rain,Off-Peak,5,-1,42,12,100
151,2019-01-06 21:00:00,Tram,Elmers End,Rain,Rush Hour,10,8,45,22,52
152,2019-01-06 22:00:00,Bus,Victoria,Ice,Rush Hour,45,5,21,35,54
153,2019-01-06 23:00:00,DLR,Tower Gateway,Clear,Rush Hour,10,3,49,16,41
154,2019-01-07 00:00:00,Bus,Oxford Circus,Snow,Off-Peak,20,28,19,0,60
155,2019-01-07 01:00:00,Tram,South Wimbledon,Wind,Off-Peak,15,6,40,12,64
156,2019-01-07 02:00:00,Tram,East Croydon,Ice,Off-Peak,40,29,46,27,44
157,2019-01-07 03:00:00,DLR,Lewisham,Wind,Off-Peak,10,29,42,13,66
158,2019-01-07 04:00:00,Tube,Baker Street,Wind,Off-Peak,30,-5,4,13,96
159,2019-01-07 05:00:00,Tube,Baker Street,Ice,Off-Peak,35,34,14,6,57
160,2019-01-07 06:00:00,Tram,Wimbledon,Fog,Rush Hour,40,16,1,36,67
161,2019-01-07 07:00:00,Bus,Soho,Ice,Rush Hour,45,23,11,40,70
162,2019-01-07 08:00:00,Tram,Wimbledon,Clear,Rush Hour,0,2,6,17,98
163,2019-01-07 09:00:00,Train,London Bridge,Clear,Off-Peak,10,5,1,40,70
164,2019-01-07 10:00:00,Bus,Liverpool Street,Wind,Off-Peak,25,31,7,8,61
165,2019-01-07 11:00:00,Tram,New Addington,Wind,Off-Peak,25,8,8,37,88
166,2019-01-07 12:00:00,Tube,Kings Cross St Pancras,Snow,Off-Peak,10,24,26,19,67
167,2019-01-07 13:00:00,Bus,Waterloo,Fog,Off-Peak,25,29,27,20,56
168,2019-01-07 14:00:00,No Service,Tottenham Court Road,Fog,Off-Peak,35,15,36,37,58
169,2019-01-07 15:00:00,No Service,South Wimbledon,Clear,Off-Peak,0,31,14,35,44
170,2019-01-07 16:00:00,No Service,Shadwell,Rain,Off-Peak,5,-1,18,24,94
171,2019-01-07 17:00:00,No Service,Shadwell,Clear,Off-Peak,10,13,29,1,87
173,2019-01-07 18:00:00,Tube,Leicester Square,Rain,Off-Peak,15,8,50,29,55
174,2019-01-07 19:00:00,Tram,South Wimbledon,Rain,Off-Peak,10,20,12,7,97
175,2019-01-07 20:00:00,Train,Victoria,Ice,Rush Hour,40,-2,44,24,94
176,2019-01-07 21:00:00,Tram,Wimbledon,Clear,Rush Hour,0,19,5,29,86
177,2019-01-07 22:00:00,Tube,Leicester Square,Fog,Rush Hour,50,19,29,29,88
178,2019-01-07 23:00:00,Bus,Waterloo,Fog,Off-Peak,35,12,0,12,70
179,2019-01-08 00:00:00,Train,Victoria,Ice,Off-Peak,30,34,41,30,57
180,2019-01-08 01:00:00,Bus,Victoria,Ice,Off-Peak,35,2,37,31,40
181,2019-01-08 02:00:00,DLR,Stratford,Rain,Off-Peak,5,33,24,35,88
182,2019-01-08 03:00:00,Tube,Baker Street,Snow,Off-Peak,20,34,34,40,75
183,2019-01-08 04:00:00,Tube,Oxford Circus,Snow,Off-Peak,10,8,25,28,54
184,2019-01-08 05:00:00,Train,Euston,Rain,Rush Hour,5,26,12,33,98
185,2019-01-08 06:00:00,Train,Clapham Junction,Rain,Rush Hour,15,32,18,18,88
186,2019-01-08 07:00:00,Train,London Bridge,Fog,Rush Hour,15,27,9,25,43
187,2019-01-08 08:00:00,Tube,Green Park,Fog,Off-Peak,40,17,44,4,82
188,2019-01-08 09:00:00,Train,Clapham Junction,Rain,Off-Peak,5,9,6,19,74
189,2019-01-08 10:00:00,DLR,Canary Wharf,Clear,Off-Peak,10,27,14,13,62
190,2019-01-08 11:00:00,DLR,Shadwell,Clear,Off-Peak,10,19,22,28,70
191,2019-01-08 12:00:00,Tram,Elmers End,Clear,Off-Peak,10,11,35,2,80
192,2019-01-08 13:00:00,No Service,East Croydon,Rain,Off-Peak,20,27,42,19,50
193,2019-01-08 14:00:00,No Service,Lewisham,Clear,Off-Peak,10,-4,30,24,66
194,2019-01-08 15:00:00,No Service,Canary Wharf,Ice,Off-Peak,25,8,7,40,100
196,2019-01-08 16:00:00,No Service,Beckenham Junction,Wind,Off-Peak,25,34,29,4,81
197,2019-01-08 17:00:00,Bus,Oxford Circus,Wind,Off-Peak,25,34,33,28,77
198,2019-01-08 18:00:00,Bus,King's Cross,Clear,Off-Peak,10,33,32,40,44
199,2019-01-08 19:00:00,DLR,Stratford,Clear,Rush Hour,0,0,0,40,98
200,2019-01-08 20:00:00,DLR,Canary Wharf,Snow,Rush Hour,25,0,15,1,60
201,2019-01-08 21:00:00,Tube,Piccadilly Circus,Wind,Rush Hour,30,-3,49,5,52
202,2019-01-08 22:00:00,DLR,Lewisham,Ice,Off-Peak,25,1,10,35,51
203,2019-01-08 23:00:00,Tube,Kings Cross St Pancras,Rain,Off-Peak,15,2,26,0,95
204,2019-01-09 00:00:00,Train,Victoria,Wind,Off-Peak,10,9,21,30,57
205,2019-01-09 01:00:00,Tram,Addiscombe,Fog,Off-Peak,40,23,39,26,64
206,2019-01-09 02:00:00,Bus,Waterloo,Snow,Off-Peak,30,27,18,36,88
207,2019-01-09 03:00:00,Bus,Oxford Circus,Fog,Off-Peak,35,24,43,18,91
208,2019-01-09 04:00:00,Train,Euston,Rain,Rush Hour,15,33,5,0,48
209,2019-01-09 05:00:00,Tram,Beckenham Junction,Rain,Rush Hour,20,21,47,30,60
210,2019-01-09 06:00:00,Tram,Addiscombe,Ice,Rush Hour,40,30,39,17,53
211,2019-01-09 07:00:00,Train,Victoria,Wind,Off-Peak,20,23,38,6,82
212,2019-01-09 08:00:00,Tube,Baker Street,Wind,Off-Peak,20,32,19,31,100
213,2019-01-09 09:00:00,Bus,Soho,Snow,Off-Peak,30,27,2,34,54
214,2019-01-09 10:00:00,Tram,Beckenham Junction,Wind,Off-Peak,25,31,0,31,84
215,2019-01-09 11:00:00,DLR,Tower Gateway,Wind,Off-Peak,20,21,22,0,75
216,2019-01-09 12:00:00,No Service,East Croydon,Wind,Off-Peak,25,27,37,32,95
217,2019-01-09 13:00:00,No Service,Tower Gateway,Snow,Off-Peak,25,-2,2,11,49
218,2019-01-09 14:00:00,No Service,Wimbledon,Rain,Off-Peak,10,16,50,23,100
219,2019-01-09 15:00:00,No Service,Oxford Circus,Ice,Off-Peak,45,-4,33,3,87
221,2019-01-09 16:00:00,Bus,Victoria,Clear,Off-Peak,0,4,16,14,99
222,2019-01-09 17:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,35,-1,47,31,86
223,2019-01-09 18:00:00,Tram,Addiscombe,Rain,Rush Hour,10,4,26,23,77
224,2019-01-09 19:00:00,DLR,Poplar,Wind,Rush Hour,20,27,38,22,43
225,2019-01-09 20:00:00,Tube,Oxford Circus,Rain,Rush Hour,15,32,22,24,94
226,2019-01-09 21:00:00,DLR,Stratford,Wind,Off-Peak,20,7,37,25,98
227,2019-01-09 22:00:00,Bus,Victoria,Rain,Off-Peak,5,25,10,20,83
228,2019-01-09 23:00:00,DLR,Stratford,Snow,Off-Peak,25,30,14,5,55
229,2019-01-10 00:00:00,Train,Paddington,Fog,Off-Peak,15,18,25,21,92
230,2019-01-10 01:00:00,Bus,Liverpool Street,Fog,Off-Peak,25,9,10,38,86
231,2019-01-10 02:00:00,Tube,Piccadilly Circus,Wind,Off-Peak,30,23,6,36,96
232,2019-01-10 03:00:00,Tube,Piccadilly Circus,Fog,Rush Hour,50,2,46,10,88
233,2019-01-10 04:00:00,Train,Victoria,Ice,Rush Hour,40,-1,47,36,78
234,2019-01-10 05:00:00,Tube,Oxford Circus,Ice,Rush Hour,35,23,7,29,93
235,2019-01-10 06:00:00,DLR,Poplar,Rain,Off-Peak,15,-2,4,30,85
236,2019-01-10 07:00:00,Tram,South Wimbledon,Fog,Off-Peak,40,6,16,32,84
237,2019-01-10 08:00:00,Bus,Liverpool Street,Clear,Off-Peak,10,-4,22,11,72
238,2019-01-10 09:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,45,21,1,26,77
239,2019-01-10 10:00:00,Train,King's Cross,Fog,Off-Peak,15,25,26,13,50
240,2019-01-10 11:00:00,No Service,Waterloo,Wind,Off-Peak,15,30,20,0,97
241,2019-01-10 12:00:00,No Service,Baker Street,Ice,Off-Peak,25,30,6,7,45
242,2019-01-10 13:00:00,No Service,Elmers End,Clear,Off-Peak,10,20,37,7,67
243,2019-01-10 14:00:00,No Service,Beckenham Junction,Wind,Off-Peak,15,21,25,39,49
244,2019-01-10 15:00:00,No Service,Lewisham,Rain,Off-Peak,15,-1,29,28,71
245,2019-01-10 16:00:00,Tram,Addiscombe,Wind,Off-Peak,25,14,11,25,96
246,2019-01-10 17:00:00,Tram,Wimbledon,Snow,Off-Peak,35,5,47,25,49
247,2019-01-10 18:00:00,Tube,Baker Street,Clear,Rush Hour,10,4,10,19,55
248,2019-01-10 19:00:00,Tram,Wimbledon,Clear,Rush Hour,10,34,16,6,98
249,2019-01-10 20:00:00,DLR,Stratford,Fog,Rush Hour,20,32,9,31,46
250,2019-01-10 21:00:00,Train,Victoria,Wind,Off-Peak,10,0,47,17,69
251,2019-01-10 22:00:00,Tube,Baker Street,Ice,Off-Peak,35,2,15,21,72
252,2019-01-10 23:00:00,Bus,King's Cross,Clear,Off-Peak,0,17,14,28,43
253,2019-01-11 00:00:00,DLR,Tower Gateway,Ice,Off-Peak,25,20,14,31,44
254,2019-01-11 01:00:00,Tram,Beckenham Junction,Fog,Off-Peak,40,6,19,19,58
255,2019-01-11 02:00:00,Bus,Waterloo,Clear,Off-Peak,10,20,3,30,96
256,2019-01-11 03:00:00,Bus,Liverpool Street,Clear,Rush Hour,10,7,31,40,50
257,2019-01-11 04:00:00,Train,Waterloo,Ice,Rush Hour,30,34,21,7,95
258,2019-01-11 05:00:00,Train,London Bridge,Fog,Rush Hour,15,12,34,35,92
259,2019-01-11 06:00:00,Tram,Addiscombe,Fog,Off-Peak,40,19,13,7,75
260,2019-01-11 07:00:00,Tram,Wimbledon,Wind,Off-Peak,15,27,29,8,73
261,2019-01-11 08:00:00,DLR,Canary Wharf,Ice,Off-Peak,35,34,30,13,50
262,2019-01-11 09:00:00,Tube,Leicester Square,Fog,Off-Peak,40,6,9,32,78
263,2019-01-11 10:00:00,Tram,Wimbledon,Rain,Off-Peak,10,30,5,14,94
266,2019-01-11 11:00:00,No Service,Piccadilly Circus,Fog,Off-Peak,40,-2,26,29,54
267,2019-01-11 12:00:00,No Service,Stratford,Snow,Off-Peak,15,-1,10,29,44
268,2019-01-11 13:00:00,No Service,Waterloo,Rain,Off-Peak,5,31,35,39,46
269,2019-01-11 14:00:00,Tram,New Addington,Fog,Off-Peak,30,2,9,30,50
270,2019-01-11 15:00:00,Tube,Oxford Circus,Clear,Off-Peak,0,22,15,4,70
271,2019-01-11 16:00:00,DLR,Poplar,Wind,Rush Hour,10,25,23,18,60
272,2019-01-11 17:00:00,Bus,Oxford Circus,Clear,Rush Hour,10,3,20,10,58
273,2019-01-11 18:00:00,Train,Paddington,Fog,Rush Hour,15,23,39,36,52
274,2019-01-11 19:00:00,DLR,Tower Gateway,Wind,Off-Peak,20,8,40,9,69
275,2019-01-11 20:00:00,Train,Waterloo,Ice,Off-Peak,40,34,35,35,94
276,2019-01-11 21:00:00,Tram,Beckenham Junction,Fog,Off-Peak,30,16,48,32,61
277,2019-01-11 22:00:00,Bus,Liverpool Street,Ice,Off-Peak,35,5,41,23,79
278,2019-01-11 23:00:00,DLR,Shadwell,Clear,Off-Peak,10,17,44,14,54
279,2019-01-12 00:00:00,Train,London Bridge,Clear,Off-Peak,10,-5,22,28,57
280,2019-01-12 01:00:00,Tube,Piccadilly Circus,Wind,Rush Hour,30,31,20,38,74
281,2019-01-12 02:00:00,Bus,Liverpool Street,Rain,Rush Hour,5,15,31,26,57
282,2019-01-12 03:00:00,Tram,Beckenham Junction,Ice,Rush Hour,50,20,16,19,84
283,2019-01-12 04:00:00,Tram,Wimbledon,Rain,Off-Peak,20,30,50,35,46
284,2019-01-12 05:00:00,Tube,Oxford Circus,Rain,Off-Peak,5,17,16,13,70
285,2019-01-12 06:00:00,Bus,Liverpool Street,Rain,Off-Peak,5,-5,20,36,42
286,2019-01-12 07:00:00,Tube,Waterloo,Ice,Off-Peak,35,34,3,35,74
287,2019-01-12 08:00:00,Bus,Victoria,Clear,Off-Peak,10,9,22,36,47
289,2019-01-12 09:00:00,No Service,Victoria,Snow,Off-Peak,30,15,24,23,68
290,2019-01-12 10:00:00,No Service,Waterloo,Wind,Off-Peak,25,3,31,35,77
291,2019-01-12 11:00:00,No Service,Victoria,Snow,Off-Peak,20,3,5,28,54
292,2019-01-12 12:00:00,No Service,Wimbledon,Fog,Off-Peak,40,4,13,14,41
293,2019-01-12 13:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,35,20,40,38,45
294,2019-01-12 14:00:00,DLR,Lewisham,Snow,Off-Peak,25,29,37,4,86
295,2019-01-12 15:00:00,DLR,Stratford,Snow,Rush Hour,25,19,41,32,52
296,2019-01-12 16:00:00,Tube,Leicester Square,Wind,Rush Hour,30,20,37,38,54
297,2019-01-12 17:00:00,Bus,Tottenham Court Road,Snow,Rush Hour,30,5,40,0,55
298,2019-01-12 18:00:00,Train,Paddington,Snow,Off-Peak,30,32,44,33,62
299,2019-01-12 19:00:00,Bus,Soho,Wind,Off-Peak,25,-4,15,39,87
300,2019-01-12 20:00:00,Bus,Oxford Circus,Wind,Off-Peak,25,1,31,7,78
301,2019-01-12 21:00:00,DLR,Poplar,Rain,Off-Peak,15,12,15,23,78
302,2019-01-12 22:00:00,DLR,Canary Wharf,Rain,Off-Peak,15,21,18,22,99
303,2019-01-12 23:00:00,Tube,Waterloo,Rain,Off-Peak,5,28,36,35,93
304,2019-01-13 00:00:00,Tram,Beckenham Junction,Ice,Rush Hour,40,21,42,12,84
305,2019-01-13 01:00:00,DLR,Bank,Rain,Rush Hour,15,11,20,36,61
306,2019-01-13 02:00:00,DLR,Lewisham,Ice,Rush Hour,25,18,14,17,57
308,2019-01-13 03:00:00,DLR,Canary Wharf,Wind,Off-Peak,10,19,25,9,43
309,2019-01-13 04:00:00,Tram,Beckenham Junction,Rain,Off-Peak,10,1,29,3,75
311,2019-01-13 05:00:00,Bus,Soho,Clear,Off-Peak,10,0,39,6,59
312,2019-01-13 06:00:00,No Service,Addiscombe,Rain,Off-Peak,20,18,14,35,53
