Date,Temperature (°C),Precipitation (mm),Wind Speed (km/h),Weather Condition,Underground Delays (min),Underground Cancellations (%),Underground Ridership (thousands),Bus Delays (min),Bus Cancellations (%),Bus Ridership (thousands),Overground Delays (min),Overground Cancellations (%),Overground Ridership (thousands),Tram Delays (min),Tram Cancellations (%),Tram Ridership (thousands),DLR Delays (min),DLR Cancellations (%),DLR Ridership (thousands),National Rail Delays (min),National Rail Cancellations (%),National Rail Ridership (thousands)
2019-01-16,1,0,12,Partly Cloudy,3,0,318,3,1,110,3,1,114,2,0,145,1,2,124,1,2,106
2019-01-17,-7,0,18,Clear,2,1,311,3,2,132,3,2,134,5,1,149,4,0,110,2,0,103
2019-01-18,-6,0,8,Clear,3,1,317,2,1,105,4,0,130,3,1,123,3,2,124,3,1,103
2019-01-19,0,0,20,Clear,2,0,317,2,2,121,1,2,144,2,0,132,5,0,148,4,0,108
2019-01-20,3,0,5,Partly Cloudy,3,0,283,4,1,115,3,0,141,5,1,149,3,1,140,2,1,136
2019-01-21,4,5,16,Clear,2,0,298,2,1,146,4,1,109,4,0,115,2,1,108,2,0,128
2019-01-22,4,0,24,Clear,3,1,313,2,1,133,3,1,118,4,0,129,5,2,107,5,2,147
2019-01-23,-6,0,6,Clear,2,0,290,5,2,115,3,0,142,3,1,127,1,2,114,5,1,127
2019-01-24,0,7,6,Light Snow,8,1,269,15,5,89,15,6,110,10,5,117,16,6,88,10,7,100
2019-01-25,-9,3,19,Clear,2,0,315,3,2,108,3,0,136,2,1,131,2,1,112,2,2,100
2019-01-26,-3,19,21,Thunderstorm,9,2,226,14,6,91,10,8,108,16,8,90,19,4,78,14,6,111
2019-01-27,-4,0,27,Clear,1,0,303,2,1,134,4,0,124,2,0,103,3,2,123,3,0,131
2019-01-28,0,15,20,Heavy Snow,14,3,161,33,11,143,26,9,60,30,10,61,26,10,126,22,11,72
2019-01-29,-7,0,15,Clear,2,1,285,3,0,136,2,1,122,1,2,127,4,1,130,3,1,136
2019-01-30,0,0,12,Clear,2,1,288,2,1,112,4,1,134,4,1,112,2,1,121,1,1,110
2019-01-31,0,12,18,Heavy Snow,19,3,195,27,9,114,30,13,58,33,12,95,29,14,100,31,14,68
2019-02-01,1,0,11,Clear,2,1,313,2,1,150,3,1,139,3,1,126,4,2,131,4,1,108
2019-02-02,3,0,28,Clear,2,1,302,3,1,141,5,2,123,1,2,140,5,1,147,4,2,141
2019-02-03,-2,0,6,Clear,1,0,293,4,2,116,3,1,134,3,1,132,2,2,148,3,1,112
2019-02-04,-1,0,13,Light Snow,9,2,242,16,5,95,17,7,93,17,6,104,15,5,126,17,5,130
2019-02-05,2,0,19,Partly Cloudy,2,1,309,4,1,147,5,2,138,2,1,142,5,2,139,2,1,112
2019-02-06,-3,0,29,Clear,2,1,319,3,0,149,4,1,131,3,1,108,3,0,137,4,0,135
2019-02-07,4,0,12,Clear,1,1,303,5,1,118,2,1,110,1,2,114,4,1,123,1,1,119
2019-02-08,-8,0,7,Clear,2,1,305,2,0,124,2,0,134,2,1,114,4,1,111,4,2,110
2019-02-09,5,0,9,Partly Cloudy,2,1,289,4,0,101,2,1,133,1,0,128,4,1,126,4,0,137
2019-02-10,-4,0,7,Clear,2,1,284,2,0,140,2,1,105,2,1,116,2,0,148,1,0,104
2019-02-11,-2,0,17,Clear,3,1,294,3,1,118,3,1,142,4,1,112,2,1,145,1,1,123
2019-02-12,-8,14,9,Heavy Snow,19,5,173,22,11,71,22,11,144,29,9,93,32,14,129,34,12,84
2019-02-13,-8,0,14,Clear,3,1,293,3,2,143,5,0,118,5,2,111,2,1,123,4,1,140
2019-02-14,-3,5,17,Clear,2,1,318,5,2,116,5,1,149,4,0,130,3,2,146,3,2,139
2019-02-15,1,17,18,Thunderstorm,6,1,203,11,7,77,15,4,112,18,3,99,15,6,91,14,3,97
2019-02-16,0,0,28,Clear,3,0,283,2,1,105,4,0,124,4,2,132,4,1,132,1,0,149
2019-02-17,-8,0,19,Clear,2,0,280,5,2,143,3,2,125,4,2,139,4,0,123,4,0,112
2019-02-18,-9,0,25,Clear,3,1,294,5,1,130,2,2,115,2,1,125,1,0,148,4,1,118
2019-02-19,-10,14,15,Heavy Snow,13,2,155,24,10,51,27,11,103,28,13,66,24,11,73,34,11,148
2019-02-20,-4,1,19,Clear,2,1,310,1,1,120,4,1,102,4,1,133,4,2,113,3,2,139
2019-02-21,4,0,16,Clear,3,1,294,3,2,136,2,2,105,3,0,121,3,1,130,4,1,142
2019-02-22,-4,0,22,Clear,2,0,296,1,2,122,4,1,121,2,2,114,2,1,146,2,1,113
2019-02-23,-7,0,16,Clear,3,1,301,3,2,100,3,2,143,2,1,129,4,1,123,2,0,145
2019-02-24,-9,0,27,Clear,3,0,291,3,2,139,4,1,111,4,2,146,4,1,118,1,1,106
2019-02-25,-9,0,14,Light Snow,10,2,270,15,6,109,14,6,91,15,7,128,17,8,109,14,5,116
2019-02-26,-7,17,9,Thunderstorm,5,3,221,12,6,77,17,6,114,20,7,77,18,5,89,13,8,96
2019-02-27,4,0,27,Partly Cloudy,3,1,282,3,1,125,4,1,121,2,0,108,4,2,121,2,1,120
2019-02-28,-10,4,21,Clear,2,1,299,4,2,126,2,1,134,2,0,120,3,1,147,2,0,101
2019-03-01,18,0,12,Clear,2,1,285,2,0,147,2,1,103,1,0,117,2,1,150,1,1,123
2019-03-02,18,0,12,Clear,2,0,309,4,2,131,2,0,123,4,2,101,3,0,132,4,1,138
2019-03-03,5,0,16,Clear,2,0,282,3,1,139,2,1,136,4,0,136,4,1,126,1,1,119
2019-03-04,7,0,13,Clear,2,0,316,2,1,117,4,0,127,2,2,128,2,2,124,3,1,103
2019-03-05,17,0,13,Partly Cloudy,2,1,298,3,2,111,4,2,126,3,0,150,2,2,116,4,1,108
2019-03-06,9,8,6,Light Rain,4,1,288,5,3,93,7,5,125,7,4,140,6,4,120,9,3,137
2019-03-07,14,0,19,Clear,2,0,285,4,1,129,4,0,145,2,1,142,2,2,123,3,0,115
2019-03-08,16,4,16,Partly Cloudy,2,1,299,4,1,125,2,0,148,3,0,134,3,0,103,1,0,135
2019-03-09,9,0,19,Clear,1,1,288,1,0,115,3,2,117,3,2,115,4,1,106,5,1,112
2019-03-10,12,3,16,Partly Cloudy,1,0,311,2,0,119,4,1,116,1,1,116,4,2,146,1,1,130
2019-03-11,18,0,24,Clear,3,1,294,4,1,129,1,2,106,4,1,140,3,1,109,2,1,103
2019-03-12,5,0,26,Clear,2,1,318,5,1,109,1,2,137,5,1,148,1,1,122,3,2,113
2019-03-13,7,0,20,Partly Cloudy,3,0,311,4,1,117,5,0,104,3,2,138,5,0,106,2,0,106
2019-03-14,15,0,21,Clear,2,1,313,4,2,107,3,1,126,2,0,127,4,1,137,2,0,142
2019-03-15,8,0,8,Clear,2,1,314,2,2,134,4,0,109,5,1,145,4,2,102,2,1,129
2019-03-16,9,5,10,Clear,2,0,314,2,1,112,3,2,120,4,0,130,1,1,102,2,0,132
2019-03-17,13,0,21,Clear,3,0,287,4,2,145,5,1,113,3,1,142,2,2,135,4,2,146
2019-03-18,20,0,30,Partly Cloudy,2,1,316,1,1,149,3,0,120,2,1,111,3,1,131,4,1,108
2019-03-19,7,0,11,Clear,1,1,298,4,1,143,1,1,143,3,1,139,4,1,116,2,2,144
2019-03-20,15,10,11,Light Rain,4,0,265,6,5,122,8,4,102,5,2,96,9,3,139,10,4,99
2019-03-21,6,10,6,Light Rain,4,1,267,6,4,130,8,5,115,6,2,126,9,4,124,9,3,134
2019-03-22,8,0,25,Clear,2,0,289,2,0,143,3,2,126,3,0,147,5,2,125,4,1,125
2019-03-23,13,0,15,Clear,2,0,313,4,1,139,1,2,100,2,2,122,3,1,118,3,1,127
2019-03-24,10,0,9,Partly Cloudy,1,1,305,1,2,130,4,2,147,1,1,137,1,1,119,4,2,115
2019-03-25,16,0,16,Clear,2,0,293,5,1,148,3,1,115,5,0,124,3,2,110,4,1,110
2019-03-26,6,1,21,Clear,2,1,307,3,1,134,1,1,104,3,0,100,2,2,119,5,1,133
2019-03-27,10,2,30,Clear,1,1,288,3,1,135,2,0,143,3,0,128,1,0,137,2,2,143
2019-03-28,19,18,28,Thunderstorm,9,3,225,15,4,103,17,3,93,17,5,107,10,4,85,14,3,110
2019-03-29,20,0,23,Clear,1,1,319,1,2,136,3,0,145,2,1,115,1,2,119,4,0,101
2019-03-30,14,16,12,Thunderstorm,9,2,210,14,4,99,14,6,87,14,5,81,13,6,112,17,4,110
2019-03-31,8,0,22,Partly Cloudy,3,1,300,4,0,105,2,1,132,3,1,119,3,0,123,3,2,118
2019-04-01,17,15,26,Heavy Rain,8,2,273,19,7,104,17,7,97,15,6,82,16,6,127,19,5,125
2019-04-02,12,0,27,Clear,2,0,315,4,1,127,2,2,145,3,2,121,4,0,105,5,1,110
2019-04-03,15,0,16,Clear,2,0,310,3,1,143,1,1,112,5,2,134,4,1,139,4,0,145
2019-04-04,20,0,16,Clear,2,0,290,5,0,140,4,2,144,4,2,101,1,2,103,4,2,137
2019-04-05,10,16,21,Thunderstorm,6,3,226,15,4,80,17,3,80,12,4,77,18,5,117,16,5,72
2019-04-06,10,0,13,Clear,3,0,310,5,1,114,5,0,129,3,2,119,2,1,105,1,1,143
2019-04-07,8,0,19,Clear,2,1,287,1,2,140,1,0,104,3,1,100,1,0,126,2,1,140
2019-04-08,20,0,26,Clear,3,1,313,4,0,150,4,1,143,2,0,117,5,1,114,2,2,121
2019-04-09,11,8,17,Light Rain,3,0,253,9,2,109,7,4,119,6,5,117,10,4,119,10,4,117
2019-04-10,7,15,5,Heavy Rain,9,3,266,16,7,90,18,6,115,12,6,108,18,6,108,20,5,122
2019-04-11,9,15,29,Heavy Rain,9,1,243,14,8,90,13,6,91,16,6,89,16,6,99,11,7,98
2019-04-12,16,0,11,Partly Cloudy,2,1,314,3,1,119,2,1,133,1,1,144,2,0,135,1,0,142
2019-04-13,12,15,17,Heavy Rain,8,3,226,12,5,124,17,5,101,16,7,99,17,7,117,19,6,127
2019-04-14,12,0,15,Partly Cloudy,2,1,299,2,1,126,4,0,102,3,0,135,3,1,128,1,2,132
2019-04-15,6,0,11,Clear,1,1,280,4,0,104,3,1,149,3,1,104,5,2,131,3,1,117
2019-04-16,11,0,19,Partly Cloudy,2,0,311,2,0,130,4,2,135,3,2,148,1,1,140,3,0,137
2019-04-17,18,0,10,Clear,1,1,299,2,1,137,2,0,119,3,1,148,5,2,113,4,1,121
2019-04-18,10,0,18,Clear,2,0,309,3,1,122,1,1,136,5,1,114,2,1,105,3,0,130
2019-04-19,7,5,9,Partly Cloudy,2,0,300,4,0,106,4,1,102,1,2,124,5,2,128,2,1,112
2019-04-20,18,0,14,Clear,1,0,313,4,0,122,1,1,144,2,1,134,1,2,101,1,1,111
2019-04-21,10,0,5,Partly Cloudy,2,0,286,2,2,149,4,1,104,2,0,124,4,2,109,5,2,120
2019-04-22,19,8,19,Light Rain,4,1,284,7,2,91,6,2,119,9,4,137,9,4,97,7,4,131
2019-04-23,10,0,22,Partly Cloudy,2,0,286,3,0,147,2,2,133,1,2,122,3,1,144,4,1,112
2019-04-24,11,19,30,Thunderstorm,9,3,203,11,4,108,12,7,88,15,7,103,16,5,83,17,3,71
2019-04-25,19,2,15,Partly Cloudy,2,1,317,5,2,116,1,2,102,1,1,132,3,0,149,2,1,145
2019-04-26,13,0,23,Clear,2,0,292,4,1,128,4,1,106,1,2,103,1,0,106,2,1,117
2019-04-27,15,0,17,Clear,3,0,294,1,1,114,3,0,137,5,0,102,5,0,106,5,0,144
2019-04-28,6,0,23,Clear,2,0,313,3,2,129,5,0,144,4,1,146,3,2,126,2,1,125
2019-04-29,19,0,15,Partly Cloudy,3,0,285,2,2,123,4,1,118,4,2,112,3,1,113,1,2,101
2019-04-30,12,0,6,Partly Cloudy,2,0,294,2,2,115,3,2,106,3,0,148,3,1,108,3,0,133
2019-05-01,14,0,26,Clear,2,1,299,2,2,141,3,1,109,4,1,102,2,0,103,4,1,130
2019-05-02,18,17,16,Thunderstorm,6,1,224,17,7,83,16,8,118,19,6,74,17,7,90,17,7,88
2019-05-03,11,0,13,Clear,1,0,290,4,0,117,4,1,142,2,0,124,1,0,133,3,1,121
2019-05-04,11,0,9,Clear,2,1,302,4,1,141,5,2,109,3,0,107,1,2,107,1,1,114
2019-05-05,11,0,15,Partly Cloudy,1,1,291,1,1,119,2,2,135,1,0,128,2,1,144,2,1,130
2019-05-06,8,0,16,Clear,1,1,310,1,1,143,4,1,130,3,2,113,2,1,147,3,1,104
2019-05-07,7,0,13,Partly Cloudy,3,0,319,4,2,125,4,1,149,3,2,105,4,1,106,2,1,136
2019-05-08,16,0,16,Clear,2,1,306,2,2,115,4,2,148,2,1,124,3,1,148,1,1,131
2019-05-09,7,0,15,Clear,2,1,291,3,1,123,4,0,108,1,1,139,3,1,124,1,1,123
2019-05-10,11,0,22,Clear,2,1,308,2,1,123,5,2,118,2,0,107,4,0,115,4,1,138
2019-05-11,12,0,13,Clear,2,1,304,3,0,147,2,1,124,4,1,118,3,1,136,4,1,125
2019-05-12,20,0,9,Clear,2,1,285,2,1,127,2,0,131,5,2,136,4,0,135,2,1,104
2019-05-13,9,0,27,Clear,1,1,291,4,0,119,2,0,104,2,0,143,2,1,101,4,1,136
2019-05-14,19,0,10,Clear,2,0,303,1,1,104,1,0,109,2,1,123,4,2,143,5,1,130
2019-05-15,7,0,9,Clear,2,1,302,4,1,133,3,0,129,2,1,144,5,2,123,3,2,122
2019-05-16,12,10,5,Light Rain,5,0,296,8,4,101,9,4,109,7,3,101,9,3,139,5,3,116
2019-05-17,16,4,27,Clear,1,0,308,2,1,132,1,1,107,4,1,115,1,0,129,1,1,117
2019-05-18,7,0,19,Clear,2,0,303,4,1,138,2,0,124,3,1,112,3,1,145,2,0,109
2019-05-19,14,18,23,Thunderstorm,8,1,222,15,7,111,18,6,85,14,4,72,14,7,80,15,8,106
2019-05-20,10,0,29,Clear,2,0,281,2,1,106,4,2,133,1,1,133,2,1,113,2,2,109
2019-05-21,12,0,18,Clear,2,0,311,4,1,139,3,1,143,4,1,116,2,0,134,2,1,129
2019-05-22,6,0,18,Clear,1,0,316,4,2,142,4,0,144,4,1,119,1,0,120,1,1,128
2019-05-23,8,14,30,Heavy Rain,9,1,248,14,5,94,12,7,130,14,6,92,18,5,123,20,6,114
2019-05-24,15,0,11,Partly Cloudy,2,0,301,1,1,145,2,2,144,4,1,101,5,1,144,4,2,102
2019-05-25,8,0,18,Partly Cloudy,2,0,305,4,1,105,2,0,140,2,2,141,3,2,102,1,1,148
2019-05-26,16,0,8,Clear,3,1,306,4,1,108,1,2,116,2,2,149,3,1,107,4,0,117
2019-05-27,9,0,11,Clear,1,0,317,2,1,123,3,0,108,4,0,144,3,1,111,4,1,103
2019-05-28,11,0,30,Clear,3,0,306,3,0,101,5,1,142,4,1,104,1,1,104,2,1,142
2019-05-29,16,2,8,Clear,1,1,298,4,2,136,5,2,147,2,0,124,4,2,127,5,2,127
2019-05-30,13,17,19,Thunderstorm,5,3,218,17,8,119,18,5,100,10,6,75,19,5,91,10,5,105
2019-05-31,13,0,13,Clear,1,1,300,2,0,115,2,1,132,4,1,126,2,1,125,1,1,132
2019-06-01,34,8,6,Light Rain,2,0,262,6,5,132,10,3,115,6,3,92,7,3,121,9,5,133
2019-06-02,30,0,30,Clear,1,0,284,5,2,121,4,0,126,2,0,108,5,2,134,2,1,129
2019-06-03,27,0,9,Clear,2,0,287,5,0,150,2,0,132,3,2,149,2,1,104,4,1,110
2019-06-04,21,0,22,Clear,3,1,314,3,2,121,3,2,137,2,2,130,1,0,105,3,0,104
2019-06-05,24,0,18,Clear,2,1,303,5,0,121,2,1,127,4,2,117,1,0,122,4,1,129
2019-06-06,22,0,30,Partly Cloudy,1,0,318,1,2,108,1,0,119,4,2,143,1,0,144,2,0,129
2019-06-07,26,0,26,Clear,2,0,319,4,0,141,3,0,148,1,2,113,2,1,146,2,0,128
2019-06-08,24,18,19,Thunderstorm,7,3,219,17,3,110,14,5,111,14,6,115,16,7,108,19,7,102
2019-06-09,23,1,8,Clear,1,0,295,2,1,143,3,2,103,2,2,104,4,0,141,5,1,134
2019-06-10,30,0,8,Partly Cloudy,2,1,316,1,0,113,1,1,111,1,0,102,2,0,124,3,2,128
2019-06-11,33,0,21,Clear,2,0,296,3,0,125,2,1,102,2,2,143,4,2,104,2,0,121
2019-06-12,22,0,19,Clear,2,1,308,3,2,143,1,1,129,4,1,142,2,1,145,1,1,141
2019-06-13,21,0,30,Partly Cloudy,3,0,283,2,2,114,3,0,133,3,1,124,4,0,143,4,1,112
2019-06-14,33,0,9,Clear,2,1,292,2,1,103,4,1,103,5,2,136,4,0,113,4,1,123
2019-06-15,32,16,25,Thunderstorm,6,3,238,18,6,115,12,4,90,19,4,74,15,6,85,16,7,75
2019-06-16,28,0,18,Partly Cloudy,3,0,298,1,1,141,2,1,130,1,1,104,4,2,120,5,2,116
2019-06-17,33,0,15,Clear,1,0,317,2,2,148,5,1,141,2,2,140,5,1,104,3,1,142
2019-06-18,21,0,23,Clear,3,1,287,3,2,149,5,1,146,1,2,148,5,0,100,3,2,114
2019-06-19,35,16,27,Thunderstorm,6,3,214,14,6,96,12,8,120,17,5,85,14,3,79,19,5,106
2019-06-20,24,0,14,Clear,2,1,290,4,2,118,4,1,103,4,1,106,1,2,101,3,0,148
2019-06-21,29,0,6,Partly Cloudy,2,1,289,2,2,148,4,2,136,5,2,102,4,1,147,5,2,103
2019-06-22,32,7,30,Light Rain,4,1,252,6,3,126,9,2,126,7,5,126,5,3,139,10,3,91
2019-06-23,24,0,19,Clear,2,0,308,4,2,127,4,0,131,4,0,144,1,1,142,1,1,110
2019-06-24,21,0,26,Partly Cloudy,3,0,281,3,2,128,4,1,136,3,1,123,1,1,119,2,0,114
2019-06-25,32,0,26,Partly Cloudy,2,1,287,2,1,101,5,1,149,3,1,125,3,1,121,2,1,136
2019-06-26,35,0,27,Clear,2,0,282,1,1,133,3,2,114,2,1,136,4,1,104,3,1,143
2019-06-27,25,15,26,Heavy Rain,10,1,257,10,6,95,18,7,95,13,7,81,12,7,90,15,6,81
2019-06-28,27,2,20,Clear,2,0,310,2,0,130,1,1,127,4,1,139,2,1,148,5,1,131
2019-06-29,24,0,27,Partly Cloudy,1,1,304,2,2,121,2,2,139,2,1,129,5,1,107,4,2,125
2019-06-30,30,0,23,Clear,2,1,305,4,1,142,3,0,125,2,0,128,3,1,140,2,1,129
2019-07-01,33,0,18,Clear,2,1,291,3,1,136,2,2,123,2,1,119,3,1,143,3,2,122
2019-07-02,34,15,23,Heavy Rain,9,1,230,14,6,129,13,4,91,16,6,83,19,7,117,15,7,116
2019-07-03,32,13,24,Heavy Rain,7,2,231,20,6,102,16,6,87,17,6,114,10,7,110,16,7,88
2019-07-04,25,8,23,Light Rain,2,2,278,9,4,96,10,4,128,5,3,131,7,3,139,10,3,130
2019-07-05,24,0,13,Partly Cloudy,2,1,292,5,1,127,3,0,118,3,1,127,2,1,116,2,2,115
2019-07-06,29,0,27,Clear,3,0,297,1,2,119,3,2,105,3,0,119,3,0,107,2,2,137
2019-07-07,25,2,28,Partly Cloudy,3,1,310,2,1,121,2,0,137,1,1,113,2,1,141,4,0,102
2019-07-08,26,14,30,Heavy Rain,10,3,230,15,4,105,19,6,87,11,6,123,18,7,94,17,5,104
2019-07-09,21,0,21,Clear,1,0,288,3,2,116,4,1,100,2,1,130,4,1,101,2,2,146
2019-07-10,31,0,12,Partly Cloudy,2,0,282,2,2,118,2,0,138,4,1,117,3,2,126,4,2,102
2019-07-11,24,16,30,Thunderstorm,6,2,232,19,6,84,12,3,105,12,8,114,14,5,89,11,7,118
2019-07-12,29,10,7,Light Rain,3,1,298,9,4,105,6,4,131,9,3,134,7,4,108,8,3,108
2019-07-13,33,4,27,Clear,2,1,319,3,2,148,1,1,112,3,0,105,5,0,141,2,1,110
2019-07-14,33,0,28,Clear,2,0,300,3,2,141,1,1,110,1,2,130,3,1,121,2,1,145
2019-07-15,22,0,15,Clear,1,1,310,4,1,102,3,0,125,2,2,116,1,1,118,2,0,117
2019-07-16,22,9,17,Light Rain,4,1,283,8,2,127,7,3,138,8,3,135,7,3,91,8,4,128
2019-07-17,29,2,6,Clear,3,0,309,4,1,115,4,2,105,4,1,127,3,1,135,3,0,138
2019-07-18,21,0,7,Clear,2,0,310,4,0,139,1,0,122,4,1,136,2,0,117,2,0,126
2019-07-19,25,0,10,Partly Cloudy,2,0,316,3,1,142,1,0,105,3,1,137,1,2,142,1,1,143
2019-07-20,21,0,27,Clear,2,0,287,3,1,100,4,0,133,1,1,120,5,0,107,1,0,146
2019-07-21,24,0,27,Clear,2,1,292,1,0,145,1,2,139,2,2,119,4,1,133,4,1,148
2019-07-22,27,0,7,Partly Cloudy,2,1,314,1,0,124,2,1,138,4,1,118,5,1,116,1,1,146
2019-07-23,23,17,11,Thunderstorm,6,1,247,11,8,117,20,8,87,11,7,98,14,8,91,12,4,86
2019-07-24,34,0,10,Clear,3,1,301,5,2,120,3,1,111,2,2,103,4,0,144,5,1,130
2019-07-25,29,0,9,Clear,3,0,306,4,1,109,4,1,112,4,0,123,2,1,145,4,2,135
2019-07-26,22,0,24,Clear,2,0,298,3,1,145,4,1,139,3,0,148,4,1,122,2,2,140
2019-07-27,24,3,18,Clear,2,1,316,4,2,130,3,2,130,1,1,100,2,1,107,2,1,130
2019-07-28,31,4,18,Clear,1,1,284,3,2,105,5,0,135,4,2,143,4,1,117,2,1,115
2019-07-29,29,0,10,Partly Cloudy,1,1,316,4,1,138,4,1,116,1,1,143,3,1,109,3,1,106
2019-07-30,27,0,12,Clear,2,0,308,4,0,120,5,2,105,3,1,141,2,1,121,4,2,139
2019-07-31,27,11,14,Heavy Rain,9,1,238,19,7,130,11,7,86,16,5,111,20,5,82,19,8,84
2019-08-01,21,5,15,Partly Cloudy,2,0,318,2,0,102,4,0,127,4,2,111,1,1,143,2,1,109
2019-08-02,30,7,19,Light Rain,2,2,277,9,3,96,10,3,126,6,5,107,7,5,135,7,3,115
2019-08-03,21,0,22,Clear,1,1,292,3,2,113,2,1,122,1,1,140,2,2,118,5,1,124
2019-08-04,25,0,7,Partly Cloudy,1,0,313,1,1,135,2,1,126,2,0,131,4,1,110,5,0,105
2019-08-05,28,0,9,Clear,3,1,304,3,1,100,2,0,121,5,1,133,2,0,143,2,0,127
2019-08-06,22,0,30,Clear,3,1,296,2,1,115,5,1,133,5,1,135,4,0,100,2,1,150
2019-08-07,32,0,13,Clear,2,0,306,2,2,137,4,2,132,1,2,127,4,0,145,4,1,148
2019-08-08,32,6,10,Light Rain,2,0,284,10,3,140,8,3,117,8,2,113,6,2,135,10,4,96
2019-08-09,30,0,18,Clear,3,0,301,3,1,101,5,1,129,3,0,100,5,1,102,5,1,103
2019-08-10,33,0,11,Partly Cloudy,2,1,320,2,0,139,2,2,138,4,2,124,3,1,128,3,2,104
2019-08-11,29,0,19,Partly Cloudy,2,0,309,3,1,110,2,1,146,4,2,112,3,2,110,4,1,103
2019-08-12,21,0,19,Clear,1,0,307,3,0,118,2,1,102,4,2,142,5,1,140,3,2,122
2019-08-13,27,0,6,Partly Cloudy,3,1,292,2,2,145,1,1,108,2,1,132,3,0,121,4,2,110
2019-08-14,28,16,15,Thunderstorm,9,1,232,16,4,73,14,5,118,19,5,108,19,7,104,15,8,84
2019-08-15,33,0,25,Clear,3,0,316,2,0,138,2,1,110,3,0,122,3,1,138,4,1,115
2019-08-16,33,0,12,Clear,2,1,304,4,1,138,4,1,114,2,0,137,3,0,145,1,2,138
2019-08-17,27,0,13,Clear,2,1,298,4,2,102,2,1,113,2,1,115,2,1,143,4,1,125
2019-08-18,27,0,23,Clear,2,1,287,1,2,140,4,1,123,3,0,107,3,1,142,2,1,131
2019-08-19,30,0,20,Partly Cloudy,2,0,290,2,2,133,3,0,106,2,2,143,4,2,122,4,1,107
2019-08-20,25,0,16,Clear,3,1,291,3,2,106,4,1,145,3,2,121,5,1,121,4,1,130
2019-08-21,35,0,11,Clear,2,0,301,3,1,127,4,1,129,4,1,105,3,1,121,3,1,109
2019-08-22,21,0,27,Clear,3,0,298,2,0,144,5,1,131,2,1,123,4,0,144,5,1,110
2019-08-23,20,0,10,Clear,2,1,295,2,2,133,4,1,128,3,1,126,2,2,118,5,1,102
2019-08-24,22,0,7,Clear,1,0,302,5,0,118,3,1,140,4,0,137,4,0,110,2,1,134
2019-08-25,20,0,19,Clear,1,0,299,2,0,124,5,1,115,5,2,117,2,2,148,4,0,102
2019-08-26,24,11,6,Heavy Rain,7,3,225,14,5,106,11,7,106,16,5,113,14,6,107,14,8,111
2019-08-27,21,0,17,Clear,1,1,301,4,1,104,3,1,132,3,0,124,4,1,122,3,2,129
2019-08-28,23,0,16,Clear,2,1,319,1,0,120,4,1,146,4,2,104,2,0,102,2,2,102
2019-08-29,26,0,15,Clear,2,1,314,4,1,115,4,1,129,4,0,148,4,2,141,2,1,129
2019-08-30,33,0,24,Clear,1,0,292,4,0,109,1,2,109,1,2,121,5,0,148,3,2,109
2019-08-31,26,0,19,Clear,2,0,310,4,1,141,3,2,139,2,0,110,4,2,121,3,0,123
2019-09-01,19,0,18,Clear,2,1,300,3,0,103,2,1,113,3,2,118,3,1,104,2,1,117
2019-09-02,21,0,28,Clear,1,0,287,3,1,132,4,1,145,2,0,103,2,1,143,1,1,129
2019-09-03,13,0,6,Partly Cloudy,1,0,312,2,1,133,5,1,117,2,0,126,5,1,118,5,1,125
