Date,Temperature (°C),Precipitation (mm),Wind Speed (km/h),Weather Condition,Underground Delays (min),Underground Cancellations (%),Underground Ridership (thousands),Bus Delays (min),Bus Cancellations (%),Bus Ridership (thousands),Overground Delays (min),Overground Cancellations (%),Overground Ridership (thousands),Tram Delays (min),Tram Cancellations (%),Tram Ridership (thousands),DLR Delays (min),DLR Cancellations (%),DLR Ridership (thousands),National Rail Delays (min),National Rail Cancellations (%),National Rail Ridership (thousands)
19/01/2019,4.4,0,30,Clear,3,1,313,2,2,119,1,2,105,2,2,148,3,1,122,2,1,134
20/01/2019,5.3,0,31,Clear,2,0,302,3,2,118,1,0,138,3,0,104,4,0,141,4,0,104
21/01/2019,6.6,20,31,Heavy Rain,10,3,265,14,4,119,16,6,125,11,6,81,15,4,86,11,7,117
22/01/2019,6.4,0,22,Clear,3,0,319,1,2,102,5,1,150,1,1,148,3,1,135,3,1,129
23/01/2019,7.1,15,34,Heavy Rain,9,2,257,13,5,103,14,6,84,20,8,115,15,5,121,17,5,126
24/01/2019,7.4,0,30,Clear,2,1,315,1,0,119,4,2,108,3,1,148,4,2,123,3,1,103
25/01/2019,7.7,0,35,Partly Cloudy,2,1,318,4,0,123,2,2,130,2,1,131,2,0,134,3,2,126
26/01/2019,7.9,0,26,Partly Cloudy,2,0,281,4,1,135,2,0,101,2,1,120,3,2,117,3,2,120
27/01/2019,7.4,0,34,Clear,3,0,290,3,2,125,2,1,112,1,0,106,2,0,132,2,1,145
28/01/2019,6.6,0,18,Clear,1,0,291,2,0,106,3,0,118,3,1,102,4,1,104,4,2,103
29/01/2019,5.5,0,30,Clear,1,0,299,3,1,123,4,0,113,4,2,126,3,0,122,3,0,113
30/01/2019,5,18,19,Heavy Rain,7,1,273,16,7,119,15,4,107,16,7,102,11,5,98,16,6,98
31/01/2019,6.4,0,20,Clear,1,0,286,2,1,109,5,0,126,3,2,106,3,2,143,4,1,109
01/02/2019,6.8,0,26,Clear,2,1,287,2,1,125,2,0,131,2,1,108,3,1,103,2,0,103
02/02/2019,7.9,0,31,Clear,2,1,304,3,1,117,5,2,148,1,1,147,2,0,137,3,2,107
03/02/2019,8.2,0,18,Clear,3,1,301,2,2,120,4,1,119,3,1,137,3,0,145,3,1,145
04/02/2019,7.9,38,28,Thunderstorm,13,2,190,29,12,139,32,9,81,24,13,53,29,13,138,25,14,61
05/02/2019,8.3,16,31,Heavy Rain,6,1,263,17,7,115,15,5,97,12,8,109,14,6,127,12,6,105
06/02/2019,7.9,35,34,Thunderstorm,16,4,196,31,9,108,29,11,124,34,14,95,22,15,134,22,14,137
07/02/2019,7.4,0,23,Clear,2,1,280,2,1,127,5,1,117,4,1,111,3,0,109,3,1,146
08/02/2019,6.6,0,28,Clear,2,0,318,2,1,104,5,1,130,1,1,110,5,0,110,1,1,128
09/02/2019,5.2,0,24,Clear,2,0,302,2,0,143,5,1,114,4,1,101,2,1,133,1,0,112
10/02/2019,5.9,4,31,Light Rain,3,1,262,5,3,126,9,4,110,8,3,105,9,2,94,6,2,99
11/02/2019,6.2,0,33,Partly Cloudy,2,0,295,3,1,131,3,1,122,2,2,138,2,2,124,5,2,121
12/02/2019,4.8,0,26,Clear,2,0,313,5,1,109,2,0,146,1,1,114,3,1,141,2,0,107
13/02/2019,6.3,0,27,Clear,2,0,317,3,1,126,1,0,137,1,1,112,3,1,118,4,1,128
14/02/2019,6.1,0,34,Partly Cloudy,1,0,290,3,0,125,3,1,139,1,0,136,3,1,122,2,2,140
15/02/2019,6.6,0,27,Clear,1,1,285,5,1,109,3,2,137,4,1,135,4,0,124,2,2,147
16/02/2019,5.1,0,34,Clear,2,1,281,4,1,146,5,2,124,4,2,116,4,0,130,2,0,104
17/02/2019,5.9,0,29,Clear,2,1,312,2,1,144,3,0,101,4,0,144,3,2,140,5,1,138
18/02/2019,5.7,0,28,Partly Cloudy,3,1,297,3,1,112,1,1,114,2,0,102,1,2,121,3,1,111
19/02/2019,7,0,17,Clear,3,1,299,3,0,150,2,2,132,3,1,112,2,0,109,4,1,103
20/02/2019,8,0,34,Partly Cloudy,1,0,310,4,0,141,2,0,127,3,1,105,5,1,106,5,2,143
21/02/2019,8.3,0,26,Clear,2,0,290,4,1,104,2,1,104,4,1,124,3,2,117,4,1,113
22/02/2019,8.7,0,28,Partly Cloudy,3,1,313,4,1,131,4,0,144,4,0,141,2,1,137,2,2,142
23/02/2019,7.9,11,27,Heavy Rain,10,2,236,16,6,119,11,7,107,20,5,112,19,4,127,17,4,95
24/02/2019,7.9,23,22,Thunderstorm,16,2,194,35,15,125,22,13,52,20,10,99,32,13,95,24,15,93
25/02/2019,7.2,32,29,Thunderstorm,12,2,184,30,10,145,22,11,144,26,12,90,24,15,91,33,10,71
26/02/2019,5.5,0,22,Partly Cloudy,2,1,287,4,2,139,4,2,131,2,0,146,3,2,124,1,0,134
27/02/2019,5.5,0,25,Clear,2,0,312,2,1,101,1,1,124,3,1,135,4,2,102,3,0,112
28/02/2019,7,20,27,Heavy Rain,9,2,221,13,6,84,14,4,84,14,5,108,17,7,90,12,4,112
01/03/2019,8.2,42,6,Thunderstorm,15,4,194,31,14,84,32,9,139,28,14,95,30,12,123,21,8,75
02/03/2019,7.5,0,9,Partly Cloudy,2,0,312,4,1,128,4,0,150,5,1,110,4,0,102,2,1,143
03/03/2019,8.6,0,14,Clear,2,1,282,4,1,122,4,1,144,5,1,114,3,2,111,3,1,137
04/03/2019,7.7,0,23,Clear,1,1,287,4,1,112,4,1,126,2,1,108,3,2,113,4,1,139
05/03/2019,7.1,0,14,Clear,1,0,301,2,2,122,2,1,135,2,0,102,4,1,124,4,2,129
06/03/2019,8.7,0,7,Clear,1,1,317,1,0,123,5,1,125,1,0,149,5,0,148,4,2,123
07/03/2019,8.8,0,18,Clear,1,0,308,2,1,148,1,1,122,4,0,135,4,2,134,3,1,143
08/03/2019,9.1,42,19,Thunderstorm,17,3,183,26,13,61,30,15,55,35,11,137,32,12,124,33,11,83
09/03/2019,9.5,0,20,Partly Cloudy,2,1,285,3,0,116,2,1,135,3,1,112,2,0,104,3,1,131
10/03/2019,9.2,0,22,Clear,2,0,294,3,1,129,3,1,138,4,1,148,1,0,100,4,2,112
11/03/2019,10.3,42,12,Thunderstorm,11,3,163,24,10,130,28,10,111,31,10,91,22,9,118,23,12,121
12/03/2019,8.8,0,10,Partly Cloudy,2,1,302,1,1,148,3,2,144,2,0,131,3,2,145,2,0,139
13/03/2019,8.2,0,13,Clear,1,1,298,3,0,137,4,0,105,1,1,130,3,0,120,3,1,149
14/03/2019,7.4,0,13,Clear,2,1,320,2,0,136,3,1,104,1,2,110,2,0,118,1,1,103
15/03/2019,8.7,0,16,Partly Cloudy,2,1,293,2,1,150,4,1,137,3,0,128,5,0,135,2,1,105
16/03/2019,8.7,0,12,Clear,3,1,289,3,0,150,5,1,142,3,1,104,4,0,141,4,1,102
17/03/2019,8.2,0,12,Clear,3,1,292,3,1,130,3,2,125,5,2,110,5,0,141,3,2,143
18/03/2019,9.3,0,11,Clear,2,0,308,2,2,132,4,0,143,5,1,130,4,0,125,3,0,118
19/03/2019,8,6,24,Light Rain,4,2,272,7,4,112,6,4,101,8,4,98,5,4,113,5,5,93
20/03/2019,8.8,0,10,Clear,1,0,284,4,0,125,5,2,131,2,1,126,3,0,144,3,0,118
21/03/2019,8.6,0,20,Partly Cloudy,1,0,299,1,1,138,2,1,111,1,0,149,4,2,124,1,1,123
22/03/2019,9.7,22,8,Thunderstorm,13,4,174,26,11,96,32,14,146,32,10,119,27,10,134,21,14,96
23/03/2019,9.9,0,23,Clear,2,0,301,2,1,126,4,0,104,4,0,104,1,2,137,2,1,117
24/03/2019,10.4,0,9,Clear,1,1,311,2,0,104,5,1,138,3,1,110,1,1,139,4,1,102
25/03/2019,11.3,0,11,Partly Cloudy,2,1,310,4,1,106,2,2,111,2,1,122,3,2,112,1,0,144
26/03/2019,11,0,21,Partly Cloudy,3,1,290,4,1,142,4,2,133,2,1,149,5,0,108,2,1,141
27/03/2019,9.6,0,22,Partly Cloudy,2,1,300,2,1,134,4,1,138,2,1,100,2,1,150,1,1,140
28/03/2019,8.6,0,20,Clear,1,0,311,3,0,138,1,1,110,5,1,116,2,1,144,5,1,122
29/03/2019,9.3,0,17,Clear,2,1,280,3,1,140,1,1,124,4,0,129,3,1,130,4,2,113
30/03/2019,10.1,0,7,Clear,2,1,308,4,1,122,2,1,122,1,0,130,4,2,147,4,1,132
31/03/2019,10.6,18,22,Heavy Rain,7,2,255,12,5,97,10,4,122,13,6,95,19,5,101,19,7,89
01/04/2019,11.9,0,15,Clear,1,1,300,3,1,138,2,1,107,4,1,148,1,0,114,2,0,145
02/04/2019,11.2,0,20,Clear,3,0,300,1,0,145,2,1,121,2,2,101,4,2,128,5,0,121
03/04/2019,10.8,0,25,Clear,2,0,303,3,2,130,2,0,108,2,1,143,3,1,106,4,1,103
04/04/2019,11.7,0,7,Clear,2,0,318,4,1,123,3,1,127,1,1,140,3,0,139,2,1,108
05/04/2019,11.3,0,15,Clear,3,1,315,2,1,149,4,0,103,3,2,127,3,0,133,4,1,139
06/04/2019,12.8,0,15,Clear,3,1,305,4,1,146,3,0,135,4,1,143,5,1,149,2,0,109
07/04/2019,13.7,0,8,Clear,2,0,315,4,1,148,3,2,133,4,0,144,3,0,101,3,1,136
08/04/2019,14.3,29,9,Thunderstorm,19,4,177,31,10,97,32,11,86,27,14,84,23,13,133,22,10,64
09/04/2019,13.2,0,20,Clear,2,0,314,3,2,132,2,1,116,4,0,109,4,0,142,2,1,135
10/04/2019,12.9,0,9,Clear,2,1,318,4,2,139,4,1,145,4,1,106,3,1,143,3,1,149
11/04/2019,11.5,0,6,Partly Cloudy,3,0,314,2,2,138,4,0,148,4,1,141,2,2,106,4,1,105
12/04/2019,10.9,19,11,Heavy Rain,8,2,238,17,4,125,19,7,110,19,5,84,12,7,82,16,8,123
13/04/2019,11.3,33,17,Thunderstorm,11,2,195,30,14,138,29,12,93,25,11,127,29,14,94,29,12,109
14/04/2019,12.1,0,15,Clear,2,0,306,5,1,137,3,1,104,2,1,124,1,0,114,5,1,124
15/04/2019,11.2,0,11,Clear,2,0,280,2,0,105,2,2,129,3,1,147,3,0,131,1,1,125
16/04/2019,12.5,0,19,Partly Cloudy,1,0,296,3,1,145,4,1,115,4,2,141,1,1,103,2,0,130
17/04/2019,12.9,15,14,Heavy Rain,7,1,245,18,4,84,14,8,113,17,5,110,10,7,126,16,7,116
18/04/2019,11.6,0,6,Clear,1,0,297,2,1,129,1,0,128,2,1,133,4,1,121,4,1,115
19/04/2019,12.5,0,21,Partly Cloudy,3,1,297,2,1,119,3,1,134,2,0,122,2,2,117,2,0,132
20/04/2019,12.7,0,6,Clear,2,1,304,2,0,149,3,1,107,3,0,125,5,1,102,1,1,108
21/04/2019,11.2,0,14,Clear,3,0,318,2,2,130,4,2,114,5,1,119,2,1,108,3,1,138
22/04/2019,12.4,0,11,Clear,1,0,294,2,2,128,2,1,107,3,1,124,3,2,144,3,1,131
23/04/2019,11.4,0,6,Clear,2,0,319,5,1,127,4,0,140,1,2,114,5,2,107,3,2,124
24/04/2019,12.6,0,13,Clear,1,1,295,3,1,129,4,2,120,4,2,129,5,0,105,4,1,142
25/04/2019,13.5,35,14,Thunderstorm,15,4,196,20,11,119,31,13,63,24,11,130,24,9,146,20,15,118
26/04/2019,14,0,5,Partly Cloudy,3,1,286,4,2,133,4,2,131,1,1,104,3,1,103,2,0,140
27/04/2019,14.7,38,15,Thunderstorm,13,2,175,32,13,55,21,11,80,23,10,130,34,11,141,25,11,73
28/04/2019,14.3,0,17,Clear,2,0,316,3,1,129,3,0,134,2,1,141,4,1,126,2,2,114
29/04/2019,13.6,0,8,Clear,1,1,293,1,1,102,2,1,103,4,0,112,4,1,105,2,1,142
30/04/2019,12.6,0,23,Clear,3,0,319,1,1,125,3,1,135,1,0,136,4,2,138,5,1,115
01/05/2019,12.5,0,18,Clear,2,1,300,3,1,110,2,1,103,4,1,141,4,0,133,3,2,111
02/05/2019,14,0,11,Clear,2,1,293,4,1,136,2,2,114,2,0,106,3,1,142,1,1,117
03/05/2019,13.3,19,15,Heavy Rain,7,2,256,10,6,128,15,7,96,18,7,106,20,5,81,18,7,86
04/05/2019,13.5,13,20,Heavy Rain,8,2,242,10,5,112,20,7,81,19,7,119,15,6,95,11,5,92
05/05/2019,14.2,0,14,Clear,3,1,311,5,1,148,1,1,111,2,0,131,4,1,107,4,1,119
06/05/2019,15.2,0,12,Partly Cloudy,2,0,316,4,0,107,1,1,122,2,2,126,2,1,134,1,1,140
07/05/2019,15.3,0,14,Clear,1,0,288,1,2,149,4,2,112,5,0,148,5,1,149,3,1,122
08/05/2019,15.8,28,25,Thunderstorm,12,4,195,34,15,102,35,13,66,27,13,75,30,13,66,28,13,100
09/05/2019,14.5,16,24,Heavy Rain,6,2,233,13,7,116,11,6,81,15,7,86,13,6,126,20,4,118
10/05/2019,14.6,0,20,Partly Cloudy,3,1,294,4,1,128,2,1,112,2,2,105,3,0,102,1,0,143
11/05/2019,14.4,0,17,Clear,2,1,310,2,1,145,5,2,121,4,1,125,2,1,109,2,2,110
12/05/2019,13.7,42,15,Thunderstorm,14,4,192,25,13,127,30,9,138,28,10,93,21,9,127,20,11,102
13/05/2019,13.1,0,10,Clear,2,0,280,4,2,111,4,1,142,3,1,116,4,2,109,2,2,140
14/05/2019,15.3,0,13,Clear,2,0,302,4,0,139,3,2,102,2,1,115,4,2,105,3,1,118
15/05/2019,16.7,0,19,Partly Cloudy,2,1,308,4,2,114,4,0,117,2,2,143,4,1,128,5,1,119
16/05/2019,15.5,0,20,Clear,1,1,280,4,2,122,2,1,141,3,2,103,3,1,143,2,2,128
17/05/2019,15.4,39,8,Thunderstorm,13,3,194,30,14,75,29,12,133,34,8,117,21,12,79,25,10,112
18/05/2019,15.1,0,13,Clear,3,0,297,4,1,103,2,2,132,4,1,110,3,2,105,2,1,122
19/05/2019,16.7,23,9,Thunderstorm,20,2,170,31,13,92,25,11,76,23,11,77,24,13,147,29,9,58
20/05/2019,17.8,0,7,Clear,2,1,291,1,2,113,4,1,131,2,1,130,4,2,105,2,2,137
21/05/2019,18.3,0,17,Partly Cloudy,2,0,281,3,1,123,5,1,142,2,1,149,1,0,122,1,1,146
22/05/2019,17.4,0,14,Partly Cloudy,1,1,305,4,0,136,1,0,144,4,0,112,2,1,112,1,1,137
23/05/2019,17.3,0,7,Partly Cloudy,3,1,313,5,1,110,3,1,137,3,0,119,5,1,127,2,1,145
24/05/2019,17.4,0,14,Clear,1,1,297,3,1,147,1,2,115,3,0,115,3,0,125,5,0,138
25/05/2019,16.7,0,10,Clear,1,0,287,4,2,141,4,0,114,2,0,126,3,1,118,4,2,115
26/05/2019,17.6,0,12,Clear,2,1,315,1,1,128,3,0,143,4,2,143,4,1,131,2,1,109
27/05/2019,17.7,0,7,Clear,1,1,309,3,0,104,1,0,145,2,1,105,2,1,130,2,0,120
28/05/2019,16.4,0,24,Clear,2,0,297,3,1,135,2,1,121,4,1,127,1,1,106,2,0,135
29/05/2019,15.5,0,23,Clear,2,0,281,4,0,124,3,1,134,2,0,136,3,2,141,4,1,117
30/05/2019,16.5,0,9,Partly Cloudy,3,0,283,3,2,145,2,0,144,3,1,148,1,1,104,3,2,122
31/05/2019,17.7,0,11,Clear,2,0,283,2,1,136,4,1,100,2,1,124,1,2,139,3,0,138
01/06/2019,18.3,0,20,Partly Cloudy,2,0,307,3,1,108,2,2,137,5,2,130,4,2,129,4,0,124
02/06/2019,19.1,0,9,Clear,1,0,297,5,1,109,1,1,119,4,1,140,2,1,113,5,1,116
03/06/2019,18.4,24,9,Thunderstorm,16,3,183,32,13,126,23,9,120,26,11,53,24,8,138,24,12,54
04/06/2019,19,0,23,Partly Cloudy,2,1,320,4,2,112,3,0,105,5,1,137,4,2,150,2,0,121
05/06/2019,18,13,21,Heavy Rain,8,2,259,12,4,118,16,7,82,18,6,108,16,7,109,16,8,118
06/06/2019,18.1,0,13,Clear,2,1,317,2,1,111,5,2,132,4,1,130,1,1,134,4,1,147
07/06/2019,17.4,0,19,Clear,2,0,286,4,1,109,4,1,133,4,0,101,4,1,135,4,2,148
08/06/2019,18,0,13,Clear,2,0,317,3,1,118,1,0,121,1,1,144,5,1,111,4,2,110
09/06/2019,19,0,21,Partly Cloudy,1,1,305,5,1,142,1,1,103,5,2,143,5,0,119,1,0,111
10/06/2019,18.9,0,7,Clear,1,1,310,5,1,114,4,1,115,2,0,113,2,1,103,2,2,107
11/06/2019,18.5,0,8,Clear,2,0,303,4,0,129,3,0,131,2,1,104,3,1,141,1,1,123
12/06/2019,19.3,0,18,Partly Cloudy,3,0,302,4,2,144,2,0,124,4,1,124,4,1,143,3,1,123
13/06/2019,19.9,7,24,Light Rain,3,1,279,7,4,101,8,3,123,6,4,99,6,3,99,9,3,136
14/06/2019,20.9,0,8,Clear,3,0,283,3,2,140,2,1,111,2,2,112,2,0,144,4,1,138
15/06/2019,19.4,0,12,Clear,2,1,282,2,0,112,5,1,123,4,0,124,3,1,150,4,1,141
16/06/2019,18.4,7,12,Light Rain,4,1,296,8,4,93,5,4,112,9,2,91,7,3,92,9,2,120
17/06/2019,18,13,21,Heavy Rain,7,3,228,18,5,114,16,8,99,11,4,121,15,7,92,13,4,128
18/06/2019,18.8,0,10,Clear,2,0,314,5,2,137,2,1,148,1,1,135,3,2,116,2,0,122
19/06/2019,18.2,0,22,Partly Cloudy,1,0,317,1,0,108,3,0,148,3,1,112,3,1,138,4,1,145
20/06/2019,19.3,0,6,Clear,1,1,296,3,2,145,5,1,135,2,0,109,2,1,142,1,1,127
21/06/2019,18.6,0,11,Clear,2,0,285,3,2,117,4,1,147,4,1,133,5,1,116,1,2,140
22/06/2019,17.6,0,14,Clear,3,0,283,3,1,102,4,1,105,2,1,115,5,2,149,2,2,122
23/06/2019,17.6,2,19,Clear,1,1,290,3,1,141,4,1,118,2,2,116,2,0,123,3,2,111
24/06/2019,17.7,0,21,Clear,2,0,317,1,2,134,3,0,124,3,0,133,5,1,136,1,1,106
25/06/2019,18.4,0,18,Clear,2,1,296,4,2,131,2,1,105,2,1,134,4,0,120,2,0,141
26/06/2019,17.3,0,8,Partly Cloudy,2,0,300,4,2,111,5,2,146,4,1,120,4,1,134,3,1,141
27/06/2019,16.8,0,16,Partly Cloudy,2,0,317,2,2,124,3,1,129,2,0,114,1,2,148,3,1,117
28/06/2019,17.9,0,24,Clear,3,0,320,1,1,133,4,0,147,2,1,111,2,1,121,2,0,121
29/06/2019,19,0,7,Clear,1,0,306,3,0,112,1,2,149,2,0,143,5,1,103,1,1,120
30/06/2019,17.7,0,5,Partly Cloudy,2,0,304,3,2,127,2,1,114,5,1,127,1,1,142,4,0,111
01/07/2019,19.9,0,7,Clear,2,1,283,2,2,103,3,1,117,3,1,108,3,2,138,2,0,113
02/07/2019,20.1,0,19,Clear,1,0,308,2,1,113,5,2,115,2,1,112,4,2,134,4,1,108
03/07/2019,21.3,0,18,Clear,1,1,286,5,2,140,4,1,143,2,1,131,3,1,117,3,2,110
04/07/2019,22.7,0,21,Clear,3,0,313,1,2,150,2,0,138,2,2,105,2,2,134,4,1,134
05/07/2019,22.8,0,19,Clear,2,0,311,2,1,112,4,1,111,1,0,130,4,0,137,2,1,146
06/07/2019,22.1,0,5,Clear,2,0,305,3,1,109,2,1,148,1,2,129,3,1,103,1,1,117
07/07/2019,23.2,0,8,Partly Cloudy,2,1,308,5,2,134,4,2,115,1,1,111,4,1,130,1,1,116
08/07/2019,23.3,0,12,Clear,1,1,317,4,0,120,4,2,106,1,1,118,2,0,127,4,2,128
09/07/2019,23,22,13,Thunderstorm,16,3,162,21,10,60,23,15,94,28,14,150,29,14,83,25,11,117
10/07/2019,23.2,0,8,Clear,1,1,308,4,2,144,3,1,131,2,0,114,3,1,142,2,0,148
11/07/2019,21.7,0,17,Clear,1,0,284,3,1,112,4,2,102,3,1,113,2,1,145,4,1,137
12/07/2019,21.4,0,14,Clear,2,1,294,5,0,116,1,2,135,2,1,120,4,1,121,5,1,106
13/07/2019,21.8,0,13,Clear,2,1,286,4,2,123,2,1,106,5,1,119,4,1,132,1,2,147
14/07/2019,22.3,0,8,Clear,2,1,296,2,0,120,2,1,110,1,1,130,4,1,117,4,1,104
15/07/2019,22.4,0,13,Clear,1,0,297,3,0,147,4,1,141,1,1,132,4,2,114,5,0,144
16/07/2019,23.6,29,6,Thunderstorm,14,4,179,34,13,98,32,15,52,35,9,131,24,9,94,30,11,55
17/07/2019,23.4,0,13,Clear,2,0,313,4,1,118,4,1,141,4,2,130,3,2,127,3,0,131
18/07/2019,23.2,2,17,Partly Cloudy,2,0,307,1,1,108,2,0,119,1,1,126,3,1,142,2,1,103
19/07/2019,21.6,0,16,Partly Cloudy,2,1,282,1,0,109,3,1,102,5,2,115,1,0,106,1,1,112
20/07/2019,21.3,0,19,Partly Cloudy,1,0,302,1,0,134,4,1,124,3,0,117,2,0,148,3,1,116
21/07/2019,21.2,0,7,Clear,3,1,302,3,2,104,2,1,139,5,0,144,4,0,120,3,2,109
22/07/2019,22.3,0,20,Clear,2,1,312,4,0,135,2,1,127,3,1,150,2,1,120,2,0,147
23/07/2019,23.3,0,25,Clear,2,1,299,3,1,130,3,0,124,3,1,111,4,0,118,4,1,113
24/07/2019,23.5,0,21,Partly Cloudy,2,0,285,2,1,130,3,1,100,3,1,137,1,1,147,2,1,105
25/07/2019,23.4,0,13,Clear,3,0,281,4,1,145,3,2,121,4,2,129,2,1,110,2,1,128
26/07/2019,23.2,0,17,Clear,1,0,301,2,1,120,4,0,132,4,2,147,1,0,144,3,1,133
27/07/2019,23.3,0,25,Partly Cloudy,2,1,282,2,2,113,2,0,143,3,1,112,4,2,116,3,0,149
28/07/2019,23.3,0,11,Partly Cloudy,3,1,319,3,0,134,4,1,110,3,1,121,4,1,112,3,1,110
29/07/2019,23.7,0,12,Partly Cloudy,3,1,287,5,1,117,1,1,105,2,1,140,5,1,143,4,2,107
30/07/2019,23.7,0,19,Clear,2,1,300,1,1,140,4,0,148,2,1,138,4,2,116,4,0,135
31/07/2019,23.9,0,10,Partly Cloudy,1,0,309,3,2,119,2,2,127,2,1,126,3,1,141,4,1,105
01/08/2019,24,0,19,Clear,3,1,285,3,2,102,5,1,132,2,0,147,2,2,120,2,0,127
02/08/2019,24.4,0,12,Clear,2,0,315,3,1,107,5,0,104,4,1,121,3,2,110,4,1,121
03/08/2019,23.3,0,20,Clear,2,1,320,3,2,117,1,0,121,2,0,146,4,1,108,1,0,136
04/08/2019,23.8,0,7,Clear,2,0,305,4,0,102,5,0,103,2,0,120,4,1,122,4,1,143
05/08/2019,24,35,14,Thunderstorm,20,3,199,31,10,104,35,14,60,31,10,51,26,10,132,25,14,50
06/08/2019,22.6,0,10,Clear,1,1,292,3,1,144,5,1,117,1,2,103,2,1,116,2,2,106
07/08/2019,22.5,3,23,Light Rain,3,2,277,5,5,102,9,3,133,5,4,128,10,5,131,9,3,104
08/08/2019,21.5,0,13,Clear,1,1,287,2,1,140,4,1,108,3,0,119,3,0,114,5,2,118
09/08/2019,20.1,18,24,Heavy Rain,6,3,227,20,6,119,13,7,90,11,8,126,19,7,120,11,5,96
10/08/2019,20.7,0,8,Clear,3,0,285,2,0,115,4,1,135,2,2,110,3,2,109,1,2,117
11/08/2019,21.3,31,11,Thunderstorm,11,4,162,26,9,65,24,9,141,20,11,62,25,14,66,34,9,124
12/08/2019,21.3,0,16,Clear,1,0,317,2,1,138,2,2,137,3,2,102,2,1,111,4,2,121
13/08/2019,20.8,0,14,Clear,2,1,303,4,2,117,3,2,118,4,2,131,4,2,142,3,0,120
14/08/2019,21.3,0,20,Clear,2,0,310,3,0,115,4,1,111,5,1,148,3,1,145,3,1,113
15/08/2019,21.1,9,5,Light Rain,2,2,262,8,5,118,6,4,120,9,4,139,8,3,122,5,5,96
16/08/2019,20.6,0,17,Clear,2,1,294,4,0,139,4,0,122,2,1,127,4,0,111,1,1,128
17/08/2019,21.7,0,14,Partly Cloudy,2,1,301,2,0,136,1,1,127,3,1,108,3,1,148,4,2,138
18/08/2019,21.7,30,17,Thunderstorm,16,3,176,25,12,70,32,9,58,27,13,94,24,12,85,34,14,100
19/08/2019,21,0,6,Clear,2,1,280,3,1,124,1,2,126,3,0,124,3,0,105,4,0,110
20/08/2019,21,0,6,Clear,1,0,282,4,0,102,3,2,113,3,0,122,3,1,117,2,0,118
21/08/2019,19.9,0,24,Partly Cloudy,3,1,308,2,1,123,3,2,114,2,2,103,3,2,131,3,0,117
22/08/2019,21.2,0,15,Clear,1,1,295,3,0,134,5,1,106,3,2,120,5,1,145,3,0,115
23/08/2019,20.3,0,20,Clear,2,0,310,3,0,131,1,1,123,2,2,110,2,0,138,3,1,101
24/08/2019,19.2,0,21,Partly Cloudy,1,1,317,3,2,107,5,2,147,4,1,147,2,1,135,4,2,110
25/08/2019,20.6,0,6,Clear,2,0,319,4,1,149,3,2,122,4,0,147,2,1,138,3,1,122
26/08/2019,21.4,0,6,Clear,2,0,294,3,0,129,5,0,130,4,1,135,3,1,100,4,1,102
